country,iso_alpha3,whostandard,natstandard,population,pm_1998,pm_1999,pm_2000,pm_2001,pm_2002,pm_2003,pm_2004,pm_2005,pm_2006,pm_2007,pm_2008,pm_2009,pm_2010,pm_2011,pm_2012,pm_2013,pm_2014,pm_2015,pm_2016,pm_2017,pm_2018,llpp_who_1998,llpp_who_1999,llpp_who_2000,llpp_who_2001,llpp_who_2002,llpp_who_2003,llpp_who_2004,llpp_who_2005,llpp_who_2006,llpp_who_2007,llpp_who_2008,llpp_who_2009,llpp_who_2010,llpp_who_2011,llpp_who_2012,llpp_who_2013,llpp_who_2014,llpp_who_2015,llpp_who_2016,llpp_who_2017,llpp_who_2018,llpp_nat_1998,llpp_nat_1999,llpp_nat_2000,llpp_nat_2001,llpp_nat_2002,llpp_nat_2003,llpp_nat_2004,llpp_nat_2005,llpp_nat_2006,llpp_nat_2007,llpp_nat_2008,llpp_nat_2009,llpp_nat_2010,llpp_nat_2011,llpp_nat_2012,llpp_nat_2013,llpp_nat_2014,llpp_nat_2015,llpp_nat_2016,llpp_nat_2017,llpp_nat_2018
Bolivia,BOL,5,10,11386530,22.780001,24.860001,22.959999,24.76,26.799999,26.799999,30.49,29.07,26.219999,31.459999,25.959999,24.51,32.25,27.16,25.23,23.85,25.129999,25.790001,25.969999,26.280001,24.719999,1.74,1.95,1.76,1.9400001,2.1400001,2.1400001,2.5,2.3599999,2.0799999,2.5899999,2.05,1.91,2.6700001,2.1700001,1.98,1.85,1.97,2.04,2.0599999,2.0899999,1.9299999,1.27,1.46,1.27,1.45,1.65,1.65,2.01,1.87,1.59,2.0999999,1.5599999,1.42,2.1800001,1.6799999,1.49,1.36,1.48,1.55,1.5700001,1.6,1.4400001
Brazil,BRA,5,0,210048299,8.8199997,8.1199999,8.6700001,10.16,10.95,11.02,11.02,10.83,10.55,11.47,10.89,10.89,10.74,10.41,10.18,10.12,10.15,11.03,10.42,10.13,10.18,0.40000001,0.37,0.38999999,0.51999998,0.58999997,0.60000002,0.60000002,0.58999997,0.56,0.64999998,0.58999997,0.58999997,0.57999998,0.54000002,0.52999997,0.51999998,0.52999997,0.60000002,0.55000001,0.52999997,0.51999998,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Barbados,BRB,5,0,293874,1.87,2.3699999,1.98,2.3599999,2.01,2.1700001,1.9299999,2.1600001,2.0599999,2.03,2.03,2.26,2.8299999,2.05,2.25,1.8099999,1.67,1.89,2.1099999,2.3099999,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Brunei,BRN,5,0,453521,14.05,5.0100002,4.9099998,5.3899999,9.1599998,7.48,8.1999998,7.5,10.06,6.1199999,5.3499999,11.52,6.8600001,7.8000002,7.8499999,7,7.5900002,11.11,8.25,5.3200002,6.9699998,0.88999999,0.0099999998,0.0099999998,0.050000001,0.41,0.23999999,0.31,0.25,0.5,0.11,0.039999999,0.63999999,0.18000001,0.27000001,0.28,0.2,0.25,0.60000002,0.31999999,0.039999999,0.19,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Bhutan,BTN,5,0,775391,18.219999,18.559999,23.139999,26.32,24.889999,25.66,25.450001,27.139999,27.51,26.08,27.01,31.299999,25.85,26.940001,29.389999,26.200001,28.860001,28.209999,26.18,26.41,28.620001,1.3,1.33,1.78,2.0899999,1.95,2.03,2,2.1700001,2.21,2.0699999,2.1600001,2.5799999,2.04,2.1500001,2.3900001,2.0799999,2.3399999,2.27,2.0799999,2.0999999,2.3099999,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Botswana,BWA,5,0,2281442,15.79,14.16,12.94,15.45,13.72,15.82,13.46,15.6,12.67,14.53,14.98,14.52,18.040001,12.79,14.48,14.23,11.85,15.07,13.92,13.1,14.02,1.0599999,0.89999998,0.77999997,1.02,0.85000002,1.0599999,0.82999998,1.04,0.75,0.93000001,0.98000002,0.93000001,1.28,0.75999999,0.93000001,0.89999998,0.67000002,0.99000001,0.87,0.79000002,0.88,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Central African Republic,CAF,5,0,5898310,28.540001,27.309999,28.219999,23.77,23.75,25.02,25.73,24.620001,22.559999,25.1,25.719999,26.370001,26.26,28.049999,26.200001,27.59,25.58,25.370001,25.93,25.219999,27.33,2.3099999,2.1900001,2.28,1.84,1.84,1.96,2.03,1.92,1.72,1.97,2.03,2.0899999,2.0799999,2.26,2.0799999,2.21,2.02,2,2.05,1.98,2.1900001,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Canada,CAN,5,10,37369993,8.8800001,7.9899998,7.8400002,7.96,8.0600004,8.3500004,7.8600001,8.5600004,7.54,7.3200002,7.2399998,6.7800002,6.5900002,6.8800001,6.4400001,6.73,6.9000001,6.8899999,5.6900001,6.3600001,6.1900001,0.38999999,0.30000001,0.28999999,0.30000001,0.31,0.33000001,0.28999999,0.36000001,0.25999999,0.23999999,0.23,0.19,0.17,0.2,0.16,0.18000001,0.2,0.2,0.1,0.15000001,0.14,0.050000001,0.02,0.02,0.0099999998,0.0099999998,0.02,0.0099999998,0.059999999,0,0,0,0,0,0,0,0,0,0,0,0,0
Cocos Islands,CCK,5,0,485,1,1.3,1.3200001,1.12,1.3200001,1.2,1.62,1.22,1.62,1.7,1.2,1.5,1.3200001,1.6,1.72,1.42,1.6,1.92,1.4,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Switzerland,CHE,5,0,8356683,13.13,13.43,12.54,13.34,13.82,15.04,11.74,12.83,12.49,11.17,11.49,12.96,13.62,13.43,11.12,12.06,9.2299995,10.51,9.5900002,9.4499998,9.3699999,0.80000001,0.82999998,0.74000001,0.81999999,0.86000001,0.98000002,0.66000003,0.76999998,0.73000002,0.60000002,0.63999999,0.77999997,0.83999997,0.82999998,0.60000002,0.69,0.41,0.54000002,0.44999999,0.44,0.43000001,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
