,country,2004_life_exp,2005_life_exp,2006_life_exp,2007_life_exp,2008_life_exp,2009_life_exp,2010_life_exp,2011_life_exp,2012_life_exp,2013_life_exp,2014_life_exp,2015_life_exp,2016_life_exp,2017_life_exp,2018_life_exp,2004_population,2005_population,2006_population,2007_population,2008_population,2009_population,2010_population,2011_population,2012_population,2013_population,2014_population,2015_population,2016_population,2017_population,2018_population,2004_pm,2005_pm,2006_pm,2007_pm,2008_pm,2009_pm,2010_pm,2011_pm,2012_pm,2013_pm,2014_pm,2015_pm,2016_pm,2017_pm,2018_pm,class
111,MDA,67.861,68.169,68.479,68.947,69.394,69.573,69.357,69.192,69.143,69.099,69.031,69.24,69.917,70.516,70.492,2896023.0,2888985.0,2880967.0,2874299.0,2868833.0,2865213.0,2862354.0,2860699.0,2860324.0,2859558.0,2857815.0,2835978.0,2803186.0,2755189.0,2707203.0,17.030001,17.530001,18.65,15.13,14.7,15.57,14.4,16.629999,17.42,15.57,15.79,14.74,14.71,16.92,14.21,2
112,MDG,60.149,60.57,61.315,61.757,62.142,62.734,62.873,63.494,63.544,63.962,64.255,64.339,64.997,65.094,65.27,18250774.0,18792171.0,19350299.0,19924958.0,20513599.0,21117092.0,21731053.0,22348158.0,22966240.0,23588073.0,24215976.0,24850912.0,25501941.0,26169542.0,26846541.0,7.6300001,9.2200003,8.3900003,9.9799995,8.4700003,9.1499996,10.14,9.6099997,8.7299995,9.4799995,8.5900002,9.5600004,9.2399998,8.7399998,8.5699997,12
113,MDV,73.538,74.751,75.13,75.686,76.543,77.069,77.657,78.124,78.682,79.057,79.424,79.695,79.872,79.943,80.013,302135.0,307018.0,314401.0,325126.0,336883.0,349037.0,361575.0,374440.0,387539.0,400728.0,416738.0,435582.0,454252.0,472442.0,489758.0,12.14,11.15,12.01,15.06,13.39,14.07,12.07,15.28,12.66,13.02,13.82,12.3,15.21,14.01,14.63,3
114,MEX,74.372,74.376,74.331,74.238,74.152,74.119,74.19,74.365,74.574,74.739,74.797,74.682,74.412,74.138,74.015,103945813.0,105442402.0,106886790.0,108302973.0,109684489.0,111049428.0,112532401.0,114150481.0,115755909.0,117290686.0,118755887.0,120149897.0,121519221.0,122839258.0,124013861.0,17.209999,18.5,17.379999,17.129999,16.559999,16.34,15.45,17.299999,16.540001,17.379999,15.79,16.620001,16.15,16.6,15.42,6
115,MKD,73.5975609756098,73.6975609756098,73.8951219512195,73.8,74.4,74.4463414634146,74.9975609756098,75.1,74.9024390243903,75.4,75.4512195121951,75.4024390243902,75.4,75.9536585365854,76.6487804878049,2032544.0,2036855.0,2040228.0,2043559.0,2046898.0,2050671.0,2055004.0,2058539.0,2061044.0,2064032.0,2067471.0,2070226.0,2072490.0,2074502.0,2076217.0,27.190001,29.549999,31.16,30.27,27.24,25.77,21.77,33.900002,29.66,25.76,25.209999,27.57,24.82,24.93,24.91,0
116,MLI,53.538,54.003,54.615,54.941,55.291,55.874,56.382,56.755,57.079,57.357,57.9,58.363,58.731,59.132,59.393,12751995.0,13180551.0,13623541.0,14080912.0,14551117.0,15032635.0,15529181.0,16039734.0,16514687.0,17004033.0,17551814.0,18112907.0,18700106.0,19311355.0,19934298.0,6.1199999,6.4000001,6.0799999,5.6999998,5.9200001,6.5999999,6.9400001,6.5999999,6.3600001,5.6199999,6.4099998,5.9299998,5.5599999,6.1100001,5.8099999,13
117,MLT,79.2536585365854,79.3,79.4390243902439,79.7926829268293,79.6365853658537,80.2414634146342,81.3975609756098,80.7463414634146,80.7463414634146,81.7463414634146,82.0463414634146,81.8975609756097,82.4536585365854,82.3463414634146,82.4487804878049,401268.0,403834.0,405308.0,406724.0,409379.0,412477.0,414508.0,416268.0,420028.0,425967.0,434558.0,445053.0,455356.0,467999.0,484630.0,7.1999998,8.0500002,8.6700001,8.1300001,7.9000001,7.4499998,5.8699999,8.8000002,7.6599998,7.79,6.1500001,8.6800003,5.7199998,6.9699998,6.1199999,4
118,MMR,61.25,61.599,61.893,62.371,56.506,63.155,63.329,63.901,64.141,64.815,65.056,65.561,65.685,65.843,66.465,47338446.0,47724471.0,48088274.0,48445647.0,48729486.0,49015836.0,49390988.0,49794522.0,50218185.0,50648334.0,51072436.0,51483949.0,51892349.0,52288341.0,52666014.0,30.35,29.42,29.690001,32.52,29.639999,33.700001,32.209999,29.690001,29.73,32.009998,32.470001,29.959999,31.27,28.82,30.360001,8
119,MNE,74.5639512195122,73.9829268292683,73.8390243902439,74.3390243902439,75.1365853658537,75.1439024390244,75.990243902439,75.9829268292683,76.2,76.490243902439,76.4414634146341,76.4487804878049,76.4414634146341,76.4853658536585,76.8414634146342,613353.0,614261.0,615025.0,615875.0,616969.0,618294.0,619428.0,620079.0,620601.0,621207.0,621810.0,622159.0,622303.0,622373.0,622227.0,16.5,17.959999,19.58,18.790001,15.73,15.7,14.04,21.58,19.360001,16.91,14.62,18.209999,16.030001,16.76,16.52,2
120,MNG,64.796,64.879,65.513,65.97,66.382,66.766,67.182,67.439,68.111,68.585,69.047,69.498,69.865,70.237,71.199,2537949.0,2559255.0,2581242.0,2605643.0,2633887.0,2666713.0,2702520.0,2743938.0,2792349.0,2845153.0,2902823.0,2964749.0,3029555.0,3096030.0,3163991.0,27.040001,31.309999,34.59,36.59,35.959999,34.279999,31.98,35.66,35.450001,36.450001,34.23,31.860001,37.459999,34.59,29.299999,8
121,MOZ,51.249,51.561,51.961,52.566,53.164,53.788,54.198,54.869,55.639,56.492,57.274,58.151,59.038,59.771,60.526,19694411.0,20211114.0,20735982.0,21280513.0,21845571.0,22436660.0,23073723.0,23760421.0,24487611.0,25251731.0,26038704.0,26843246.0,27696493.0,28569441.0,29423878.0,13.35,14.97,14.08,16.559999,15.05,13.7,15.2,13.0,14.32,14.09,12.57,14.01,12.42,11.67,13.86,13
122,MRT,61.593,61.656,61.891,62.228,62.399,62.8,63.105,63.346,63.578,63.911,64.155,64.485,64.768,65.083,65.31,2946575.0,3012360.0,3081229.0,3153508.0,3233336.0,3322616.0,3419461.0,3524249.0,3636113.0,3742959.0,3843174.0,3946220.0,4051890.0,4160015.0,4270712.0,3.1500001,3.1900001,3.29,3.0699999,3.1099999,3.3399999,3.5999999,3.3299999,3.6400001,3.1199999,3.29,3.21,3.1600001,3.3499999,3.0,5
123,MUS,72.2658536585366,72.4321951219512,72.4321951219512,72.5707317073171,72.5707317073171,72.8824390243903,72.9673170731707,73.2668292682927,73.8634146341464,74.0170731707317,74.1943902439024,74.3531707317073,74.3948780487805,74.5146341463415,74.4163414634146,1221003.0,1228254.0,1233996.0,1239630.0,1244121.0,1247429.0,1250400.0,1252404.0,1255882.0,1258653.0,1260934.0,1262605.0,1263473.0,1264613.0,1265303.0,3.75,4.8299999,3.6700001,3.9100001,3.73,3.75,4.3099999,4.4200001,3.9400001,4.1500001,3.9100001,3.8599999,4.1900001,4.1900001,4.52,7
124,MWI,50.453,52.044,53.238,53.946,54.604,55.448,56.381,57.455,58.679,59.729,60.899,61.378,62.209,62.977,63.276,12411342.0,12755648.0,13118307.0,13495463.0,13889423.0,14298932.0,14718422.0,15146094.0,15581251.0,16024775.0,16477966.0,16938942.0,17405624.0,17881167.0,18367883.0,18.0,19.219999,18.23,22.66,20.48,18.709999,19.959999,18.6,19.040001,19.1,17.799999,18.780001,16.68,15.98,17.690001,9
125,MYS,73.898,74.096,74.164,74.211,74.25,74.227,74.442,74.746,74.944,75.035,75.146,75.094,75.289,75.476,75.644,25333247.0,25923536.0,26509413.0,27092604.0,27664296.0,28217204.0,28717731.0,29184133.0,29660212.0,30134807.0,30606459.0,31068833.0,31526418.0,31975806.0,32399271.0,16.43,16.07,20.639999,14.38,13.78,18.059999,13.27,16.360001,16.559999,17.459999,18.59,22.59,14.27,12.99,14.0,2
126,NAM,51.246,51.787,52.655,53.68,54.653,55.496,56.015,56.553,57.64,58.694,59.822,60.7,61.682,62.293,62.586,1939406.0,1962865.0,1986558.0,2011492.0,2038552.0,2067919.0,2099271.0,2132340.0,2167470.0,2204510.0,2243001.0,2282704.0,2323352.0,2364534.0,2405680.0,13.03,15.58,14.49,15.69,18.379999,16.02,18.379999,17.1,15.42,14.83,13.18,14.52,13.9,14.33,14.3,9
127,NCL,75.4707317073171,75.7219512195122,76.0756097560976,76.4780487804878,76.6804878048781,76.9804878048781,77.2804878048781,76.6317073170732,77.0780487804878,77.1780487804878,77.2365853658537,77.2804878048781,76.9317073170732,77.5390243902439,80.0030975609756,228750.0,232250.0,235750.0,239250.0,242750.0,245950.0,249750.0,254350.0,259000.0,263650.0,268050.0,269460.0,270220.0,270810.0,271170.0,2.0799999,2.0999999,1.83,2.2,2.53,2.3299999,2.49,2.6500001,2.46,2.5,2.3399999,2.3399999,2.75,2.46,2.6500001,4
128,NER,52.589,53.59,54.596,55.553,56.508,57.396,58.367,58.994,59.65,60.239,60.786,61.083,61.629,62.16,62.454,13366885.0,13855221.0,14365168.0,14897873.0,15455175.0,16037915.0,16647543.0,17283112.0,17954407.0,18653199.0,19372014.0,20128124.0,20921743.0,21737922.0,22577058.0,9.1300001,9.1300001,9.6199999,9.8100004,10.02,10.46,11.28,10.03,11.11,8.9399996,9.8000002,10.07,9.9899998,10.61,10.96,13
129,NGA,48.767,49.297,49.73,50.033,50.225,50.712,50.945,51.357,51.497,51.707,51.791,51.841,52.043,52.305,52.554,136756848.0,140490722.0,144329764.0,148294028.0,152382506.0,156595758.0,160952853.0,165463745.0,170075932.0,174726123.0,179379016.0,183995785.0,188666931.0,193495907.0,198387623.0,22.41,22.41,21.280001,22.01,23.92,22.530001,23.709999,22.15,22.02,20.49,20.440001,20.450001,23.1,22.9,23.469999,11
130,NIC,67.423,67.936,68.725,69.559,70.586,71.433,72.009,72.416,72.615,72.704,72.812,72.983,73.256,73.554,73.85,5386223.0,5454678.0,5529811.0,5607453.0,5687744.0,5770639.0,5855734.0,5942553.0,6030607.0,6119379.0,6208676.0,6298598.0,6389235.0,6480532.0,6572233.0,12.05,15.52,12.34,13.53,12.79,10.78,14.49,13.39,11.52,12.83,10.52,10.32,12.26,12.94,10.69,2
131,NLD,79.0951219512195,79.3463414634146,79.6975609756098,80.0975609756098,80.2512195121951,80.5487804878049,80.7024390243902,81.2048780487805,81.1048780487805,81.3048780487805,81.7073170731707,81.509756097561,81.5609756097561,81.7609756097561,81.8121951219512,16281779.0,16319868.0,16346101.0,16381696.0,16445593.0,16530388.0,16615394.0,16693074.0,16754962.0,16804432.0,16865008.0,16939923.0,17030314.0,17131296.0,17231624.0,12.7,12.37,12.54,12.83,13.66,14.16,14.59,14.18,11.38,12.16,11.49,10.44,10.22,10.0,10.88,3
132,NOR,79.8414634146342,80.0414634146342,80.3439024390244,80.3951219512195,80.5926829268293,80.7951219512195,80.9975609756098,81.2951219512195,81.4512195121951,81.7512195121951,82.1,82.3048780487805,82.4073170731707,82.609756097561,82.7585365853659,4591910.0,4623291.0,4660677.0,4709153.0,4768212.0,4828726.0,4889252.0,4953088.0,5018573.0,5079623.0,5137232.0,5188607.0,5234519.0,5276968.0,5311916.0,5.71,5.6100001,6.4400001,5.27,5.2800002,5.75,6.3299999,6.0100002,5.1599998,5.0999999,5.3699999,4.3099999,4.6500001,4.1799998,5.1599998,4
133,NPL,64.818,65.457,65.868,66.329,66.421,66.761,66.814,67.313,67.47,67.965,68.085,67.456,68.776,68.91,68.979,26003965.0,26285110.0,26518971.0,26713655.0,26881544.0,27026941.0,27161567.0,27266399.0,27330694.0,27381555.0,27462106.0,27610325.0,27861186.0,28183426.0,28506712.0,41.080002,40.610001,46.540001,46.790001,47.889999,51.529999,43.82,48.509998,46.48,45.310001,45.02,47.470001,48.34,44.759998,48.77,10
134,NZL,79.5487804878049,79.8512195121951,80.0487804878049,80.1512195121951,80.3512195121951,80.7024390243902,80.7024390243902,80.9048780487805,81.1560975609756,81.4073170731707,81.4048780487805,81.4568292682927,81.6124390243903,81.6585365853659,81.8585365853659,4087500.0,4133900.0,4184600.0,4223800.0,4259800.0,4302600.0,4350700.0,4384000.0,4408100.0,4442100.0,4516500.0,4609400.0,4714100.0,4813600.0,4900600.0,2.24,2.55,2.4000001,2.6099999,2.45,2.3900001,2.5699999,2.5599999,2.49,2.72,2.3699999,2.3399999,2.3,2.75,2.4300001,4
135,OMN,74.329,74.396,74.48,74.461,74.612,74.681,76.269,76.608,77.061,77.246,77.446,77.687,77.916,77.924,77.966,2468855.0,2515192.0,2560649.0,2605700.0,2651028.0,2697537.0,2881914.0,3206870.0,3535579.0,3816680.0,4009267.0,4191776.0,4398070.0,4541854.0,4601157.0,9.3000002,9.4799995,12.47,10.82,12.46,13.64,12.65,12.37,13.46,12.82,13.25,12.52,12.96,11.83,13.03,3
136,PAK,63.052,62.466,63.731,63.852,64.036,64.14,64.436,64.648,64.782,65.15,65.284,65.697,65.88,66.297,66.482,170648620.0,174372098.0,178069984.0,181924521.0,185931955.0,190123222.0,194454498.0,198602738.0,202205861.0,205337562.0,208251628.0,210969298.0,213524840.0,216379655.0,219731479.0,34.349998,36.209999,40.02,39.959999,38.439999,37.720001,42.959999,41.880001,40.119999,40.400002,40.279999,44.380001,43.349998,41.439999,38.919998,10
137,PAN,75.544,75.829,76.012,76.154,76.225,76.343,76.448,76.627,76.819,77.038,77.248,77.468,77.653,77.795,77.863,3243311.0,3305868.0,3368573.0,3431614.0,3495276.0,3559343.0,3623617.0,3688674.0,3754862.0,3821556.0,3888793.0,3957099.0,4026336.0,4096063.0,4165255.0,6.4200001,7.8200002,7.48,7.4200001,7.1100001,7.3099999,9.1999998,8.6800003,8.3599997,7.9499998,7.9000001,7.6399999,8.46,8.5,7.5500002,4
138,PER,72.668,72.986,73.172,73.223,73.377,73.466,73.711,74.133,74.544,74.967,75.333,75.621,75.789,75.879,76.009,27893911.0,28147267.0,28381078.0,28600387.0,28806185.0,29009326.0,29229572.0,29477721.0,29749589.0,30038809.0,30353951.0,30711863.0,31132779.0,31605486.0,32203944.0,26.709999,27.41,25.76,25.85,24.07,24.440001,25.690001,24.4,24.5,24.190001,23.25,23.35,24.540001,24.940001,24.030001,0
139,PHL,70.037,70.24,70.282,70.483,70.564,70.633,70.754,70.788,70.881,70.835,71.151,71.268,71.387,71.516,71.689,84607501.0,86261250.0,87901835.0,89561377.0,91252326.0,92946951.0,94636700.0,96337913.0,98032317.0,99700107.0,101325201.0,103031365.0,104875266.0,106738501.0,108568836.0,17.389999,18.709999,16.73,17.129999,16.549999,18.51,17.15,17.82,16.57,16.889999,17.66,16.950001,16.1,16.889999,14.55,2
140,PNG,61.761,61.801,61.917,62.034,62.571,62.788,63.039,63.526,63.733,63.961,64.259,64.701,64.84,65.103,65.182,6293166.0,6498818.0,6708217.0,6921066.0,7137988.0,7358890.0,7583269.0,7806637.0,8026545.0,8245627.0,8464153.0,8682174.0,8899169.0,9114796.0,9329227.0,11.27,9.9899998,11.25,11.68,13.19,11.95,13.17,12.1,12.3,13.55,13.52,12.25,11.46,12.56,10.7,12
141,POL,74.8463414634146,74.9951219512195,75.1439024390244,75.2439024390244,75.5439024390244,75.6951219512195,76.2463414634146,76.6951219512195,76.7463414634146,77.0,77.6024390243903,77.4512195121951,77.8512195121951,77.7536585365854,77.6024390243903,38182222.0,38165445.0,38141267.0,38120560.0,38125759.0,38151603.0,38042794.0,38063255.0,38063164.0,38040196.0,38011735.0,37986412.0,37970087.0,37974826.0,37974750.0,22.559999,23.889999,25.49,20.059999,19.76,22.5,26.389999,23.610001,21.549999,21.059999,21.120001,19.43,19.110001,19.5,19.030001,0
142,PRI,77.143,77.237,77.415,77.621,77.841,77.877,78.01,78.316,78.461,78.777,78.929,79.695,80.27,79.258,79.77,3826878.0,3821362.0,3805214.0,3782995.0,3760866.0,3740410.0,3721525.0,3678732.0,3634488.0,3593077.0,3534874.0,3473232.0,3406672.0,3325286.0,3193354.0,1.78,2.55,2.53,2.25,1.75,1.9,2.5799999,1.77,1.92,1.7,1.86,1.75,1.97,2.27,2.1099999,4
143,PRK,69.437,69.285,69.085,68.911,68.958,69.732,70.419,70.978,71.626,72.319,72.942,72.784,72.805,72.978,73.031,23948930.0,24100982.0,24235761.0,24356506.0,24469047.0,24581509.0,24686435.0,24783789.0,24887770.0,25001819.0,25126131.0,25258015.0,25389611.0,25516321.0,25638149.0,24.02,25.879999,30.48,27.059999,28.030001,27.4,21.790001,26.190001,25.889999,24.67,29.52,27.84,24.959999,22.559999,20.26,0
144,PRT,77.6707317073171,78.0707317073171,78.419512195122,78.3219512195122,78.5243902439025,78.7268292682927,79.0268292682927,80.4707317073171,80.3731707317073,80.7219512195122,81.1219512195122,81.1243902439025,81.1243902439025,81.4243902439025,81.3243902439024,10483861.0,10503330.0,10522288.0,10542964.0,10558177.0,10568247.0,10573100.0,10557560.0,10514844.0,10457295.0,10401062.0,10358076.0,10325452.0,10300300.0,10283822.0,7.8400002,9.8800001,8.1700001,8.04,5.23,5.8899999,5.8000002,6.1100001,5.3800001,5.98,5.0700002,5.8400002,5.9699998,6.2800002,5.27,4
145,PRY,70.481,70.527,70.781,71.106,71.384,71.635,71.887,72.131,72.454,72.757,72.878,73.191,73.534,73.644,73.568,5416324.0,5476878.0,5534675.0,5590145.0,5645148.0,5702574.0,5768613.0,5843939.0,5923322.0,6005652.0,6090721.0,6177950.0,6266615.0,6355404.0,6443328.0,14.37,14.92,13.94,19.969999,12.43,12.64,12.64,11.76,12.68,11.35,13.13,13.87,12.2,12.66,11.47,2
146,PSE,71.182,72.067,71.915,72.153,72.413,72.608,73.004,73.243,73.466,74.029,72.622,74.406,74.554,74.833,74.793,3236626.0,3320396.0,3406334.0,3494496.0,3591977.0,3689099.0,3786161.0,3882986.0,3979998.0,4076708.0,4173398.0,4270092.0,4367088.0,4454805.0,4569087.0,10.16,10.37,11.17,11.01,10.72,11.36,11.08,12.09,13.31,11.25,10.4,12.71,10.66,12.15,11.8,2
147,PYF,79.696,79.736,79.842,80.02,80.301,80.665,81.039,81.429,81.759,82.017,82.214,82.354,82.488,82.618,82.783,267132.0,271060.0,274901.0,278178.0,280558.0,282283.0,283788.0,285265.0,286584.0,288032.0,289873.0,291787.0,293541.0,295450.0,297606.0,0.87,1.14,0.85000002,0.88999999,0.69,0.77999997,0.75999999,0.66000003,0.75999999,0.85000002,0.93000001,0.86000001,0.75999999,0.76999998,0.86000001,4
148,QAT,75.961,76.064,76.57,77.016,77.427,77.878,78.425,78.891,79.227,79.536,79.768,80.064,80.433,80.717,80.898,777943.0,848710.0,1015060.0,1231893.0,1444277.0,1610274.0,1713504.0,1804171.0,1905660.0,2035501.0,2214465.0,2414573.0,2595166.0,2711755.0,2766732.0,19.219999,19.92,23.4,22.860001,24.75,27.129999,29.34,27.889999,29.870001,27.879999,29.209999,29.120001,30.4,33.75,30.879999,0
149,ROU,71.5609756097561,71.9121951219512,72.1634146341463,72.5658536585366,72.5658536585366,73.309756097561,73.4585365853659,74.409756097561,74.4121951219512,75.0634146341463,74.909756097561,74.9121951219512,75.209756097561,75.309756097561,75.3585365853659,21451748.0,21319685.0,21193760.0,20882982.0,20537875.0,20367487.0,20246871.0,20147528.0,20058035.0,19983693.0,19908979.0,19815616.0,19702267.0,19588715.0,19473970.0,19.32,19.85,19.950001,17.290001,17.18,17.370001,16.43,20.66,18.98,16.219999,15.38,16.09,16.09,18.110001,15.97,2
150,RUS,65.4709756097561,65.529756097561,66.7275609756098,67.5868292682927,67.9492682926829,68.6846341463415,68.8412195121951,69.6839024390244,70.0721951219512,70.5787804878049,70.7436585365854,71.1834146341463,71.6512195121951,72.4514634146342,72.6621951219512,144067316.0,143518814.0,143049637.0,142805114.0,142742366.0,142785349.0,142849468.0,142960908.0,143201721.0,143506995.0,143819667.0,144096870.0,144342397.0,144496739.0,144477859.0,13.39,13.82,14.7,12.57,12.96,13.76,14.08,12.1,13.55,12.0,12.48,11.31,11.93,11.88,10.92,6
151,RWA,55.491,57.316,58.714,59.965,61.134,61.958,62.54,63.261,64.009,64.426,64.94,65.298,65.737,65.941,66.251,8791853.0,9026299.0,9270066.0,9523168.0,9781996.0,10043737.0,10309031.0,10576932.0,10840334.0,11101350.0,11368451.0,11642959.0,11930899.0,12230339.0,12531808.0,34.549999,34.360001,29.23,38.48,36.549999,33.82,35.41,37.169998,36.439999,37.139999,33.189999,35.34,34.560001,29.690001,29.65,8
152,SAU,74.153,74.588,74.81,75.046,75.274,75.431,75.763,76.234,76.461,76.626,76.757,76.918,77.064,77.16,77.212,23661808.0,24397644.0,25382870.0,26400068.0,27437353.0,28483797.0,29411929.0,30150945.0,30821543.0,31482498.0,32125564.0,32749848.0,33416270.0,34193122.0,35018133.0,16.120001,17.84,20.49,20.41,21.99,22.709999,23.51,24.68,25.17,22.030001,24.83,25.030001,24.07,26.440001,24.76,0
153,SDN,56.773,57.279,60.281,61.256,61.206,62.644,63.016,63.246,63.792,63.678,64.269,64.659,64.78,65.445,65.681,28831550.0,29540577.0,30332968.0,31191163.0,32065241.0,32948155.0,33739933.0,34419624.0,35159792.0,35990704.0,37003245.0,38171178.0,39377169.0,40679828.0,41999059.0,8.3999996,9.0,9.8800001,9.6099997,9.54,8.8000002,10.22,9.8199997,9.46,8.3900003,9.3800001,8.9300003,9.4899998,10.72,9.79,12
154,SEN,60.027,60.915,61.75,62.543,63.242,63.923,64.615,65.262,65.457,66.072,66.452,66.879,67.497,67.75,68.097,10698691.0,10974057.0,11263387.0,11563869.0,11872929.0,12195029.0,12530121.0,12875880.0,13231833.0,13595566.0,13970308.0,14356181.0,14751356.0,15157793.0,15574909.0,4.4400001,4.77,5.0300002,4.7399998,4.9200001,5.2399998,5.6399999,4.9899998,5.2399998,4.96,4.8699999,5.4499998,4.79,5.0,4.4699998,12
155,SGP,79.490243902439,79.990243902439,80.1414634146341,80.4414634146342,80.790243902439,81.2414634146342,81.5414634146342,81.7439024390244,81.9951219512195,82.2463414634147,82.4951219512195,82.7439024390244,82.8463414634146,83.0951219512195,83.2975609756098,4166664.0,4265762.0,4401365.0,4588599.0,4839396.0,4987573.0,5076732.0,5183688.0,5312437.0,5399162.0,5469724.0,5535002.0,5607283.0,5612253.0,5638676.0,16.0,15.89,25.68,13.97,13.03,19.82,11.94,14.67,16.92,22.110001,17.450001,25.85,13.27,12.44,13.23,3
156,SLB,67.801,67.936,68.09,67.986,68.404,68.466,68.732,68.908,69.084,69.188,69.234,69.583,69.801,69.988,70.173,471785.0,482486.0,493430.0,504619.0,516001.0,527833.0,540394.0,553721.0,567763.0,582365.0,597375.0,612660.0,628102.0,643634.0,659249.0,4.1599998,3.53,4.77,5.5900002,3.8699999,5.48,5.25,5.0999999,5.3899999,7.1199999,6.8499999,6.3800001,6.3699999,7.1300001,6.1900001,7
157,SLE,47.577,48.237,49.323,50.365,51.526,52.626,53.693,54.62,55.451,56.313,56.393,57.189,58.404,58.652,59.796,5533329.0,5683334.0,5809774.0,5939163.0,6090860.0,6259842.0,6436698.0,6612385.0,6788587.0,6964859.0,7140688.0,7314773.0,7493913.0,7677565.0,7861281.0,13.19,12.8,12.19,11.93,12.6,15.49,13.8,12.77,11.4,13.0,12.87,11.95,12.26,11.65,11.51,13
158,SLV,70.34,70.44,70.773,71.108,71.424,71.576,71.848,71.859,71.831,71.771,71.746,71.814,72.025,72.311,72.555,6035655.0,6037817.0,6034436.0,6044131.0,6068099.0,6091188.0,6114034.0,6137349.0,6161289.0,6185642.0,6209526.0,6231066.0,6250510.0,6266654.0,6276342.0,21.209999,26.950001,22.209999,24.870001,24.610001,25.27,26.280001,27.540001,25.139999,26.790001,23.84,22.75,24.33,25.01,23.780001,0
159,SOM,50.538,50.661,50.597,50.515,51.12,51.853,50.563,51.304,53.161,53.843,54.277,54.857,55.044,55.654,56.375,10117354.0,10467292.0,10784973.0,11118092.0,11444870.0,11730037.0,12026649.0,12216837.0,12440326.0,12852485.0,13309235.0,13763906.0,14292847.0,14864221.0,15411094.0,8.4399996,7.3499999,8.5100002,8.75,7.4499998,8.6000004,8.5,9.25,8.1499996,7.4000001,7.6999998,8.0100002,7.9299998,7.8899999,8.54,13
160,SRB,72.6829268292683,72.8341463414634,73.3853658536585,73.6317073170732,73.8853658536585,73.9853658536585,74.3365853658537,74.5365853658537,74.8365853658537,75.1853658536585,75.3365853658537,75.2878048780488,75.6878048780488,75.5390243902439,75.890243902439,7463157.0,7440769.0,7411569.0,7381579.0,7350222.0,7320807.0,7291436.0,7234099.0,7199077.0,7164132.0,7130576.0,7095383.0,7058322.0,7020858.0,6982604.0,21.99,23.469999,23.469999,20.5,20.280001,21.469999,18.889999,27.389999,24.76,20.98,20.01,22.280001,21.27,21.889999,21.1,0
161,SSD,50.917,51.545,52.016,52.856,53.538,53.891,54.812,54.94,55.865,55.751,54.973,55.566,55.544,55.309,55.95,7317118.0,7662654.0,8029517.0,8417823.0,8823888.0,9229227.0,9714419.0,10243050.0,10701604.0,11106031.0,11213284.0,11194299.0,11066105.0,10658226.0,10395329.0,13.67,15.4,14.42,16.450001,14.47,14.98,15.79,17.309999,15.3,15.48,15.61,14.64,15.44,15.18,14.11,13
162,SUR,66.416,67.002,67.571,68.204,68.816,69.505,69.894,69.914,69.764,69.682,69.782,70.8,71.592,72.417,72.553,510572.0,516220.0,522023.0,527946.0,533938.0,539987.0,546080.0,552146.0,558111.0,563947.0,569682.0,575475.0,581453.0,587559.0,593715.0,6.1700001,6.29,6.0799999,5.6100001,6.9000001,6.3000002,6.1100001,5.6700001,5.7600002,5.1900001,4.9200001,4.98,5.3499999,5.0100002,4.9499998,7
163,SVK,73.9585365853659,73.9048780487805,74.2048780487805,74.2073170731707,74.7048780487805,74.909756097561,75.1121951219512,75.9585365853659,76.109756097561,76.4121951219512,76.8121951219512,76.5634146341463,77.1658536585366,77.1658536585366,77.2658536585366,5372280.0,5372807.0,5373054.0,5374622.0,5379233.0,5386406.0,5391428.0,5398384.0,5407579.0,5413393.0,5418649.0,5423801.0,5430798.0,5439232.0,5446771.0,20.6,22.309999,23.040001,17.1,16.940001,19.32,20.540001,21.74,18.780001,18.559999,16.67,17.35,15.99,17.030001,15.88,0
164,SVN,77.2073170731707,77.6121951219512,78.0865853658537,78.5609756097561,78.7658536585366,78.9707317073171,79.4219512195122,79.9707317073171,80.1243902439024,80.3219512195122,81.0780487804878,80.7756097560976,81.1756097560976,81.0292682926829,81.3780487804878,1997012.0,2000474.0,2006868.0,2018122.0,2021316.0,2039669.0,2048583.0,2052843.0,2057159.0,2059953.0,2061980.0,2063531.0,2065042.0,2066388.0,2073894.0,18.67,20.58,20.35,16.379999,16.41,16.389999,17.719999,19.870001,16.219999,15.72,13.34,16.32,14.85,15.42,14.57,3
165,SWE,80.4975609756098,80.5463414634146,80.7487804878049,80.9,81.1,81.3512195121951,81.4512195121951,81.8024390243903,81.7048780487805,81.9560975609756,82.2536585365854,82.2048780487805,82.3073170731707,82.409756097561,82.5585365853659,8993531.0,9029572.0,9080505.0,9148092.0,9219637.0,9298515.0,9378126.0,9449213.0,9519374.0,9600379.0,9696110.0,9799186.0,9923085.0,10057698.0,10175214.0,6.71,6.9699998,7.6199999,6.29,6.52,6.3499999,6.7600002,6.8000002,5.6599998,5.2600002,6.6599998,5.1900001,5.0300002,4.77,5.52,4
166,SWZ,42.538,42.125,43.12,43.641,44.175,44.639,46.619,48.195,49.835,51.486,53.05,55.019,56.659,57.895,59.411,1065764.0,1071886.0,1077735.0,1084008.0,1089870.0,1094886.0,1099920.0,1105371.0,1111444.0,1118319.0,1125865.0,1133936.0,1142524.0,1151390.0,1160428.0,16.49,17.25,15.15,16.700001,15.4,15.59,17.709999,14.69,16.290001,15.19,14.36,15.35,13.12,14.0,14.62,13
