country,year,life_exp,population,pm
BGR,2007,72.6634146341463,7545338.0,24.15
BGR,2008,72.9634146341463,7492561.0,22.26
BGR,2009,73.4121951219512,7444443.0,20.379999
BGR,2010,73.5121951219512,7395599.0,18.23
BGR,2011,74.1634146341463,7348328.0,27.809999
BGR,2012,74.3146341463415,7305888.0,22.58
BGR,2013,74.8609756097561,7265115.0,19.950001
BGR,2014,74.4658536585366,7223938.0,19.34
BGR,2015,74.6146341463415,7177991.0,18.65
BGR,2016,74.8121951219512,7127822.0,17.780001
BGR,2017,74.8146341463415,7075947.0,19.18
BGR,2018,74.9634146341464,7025037.0,18.280001
BHR,1998,74.641,672484.0,14.03
BHR,1999,74.98,692133.0,14.24
BHR,2000,75.496,711442.0,17.059999
BHR,2001,75.908,730257.0,13.78
BHR,2002,76.088,748324.0,14.28
BHR,2003,76.337,778256.0,13.84
BHR,2004,76.56,833451.0,13.33
BHR,2005,76.931,901921.0,14.39
BHR,2006,77.156,970981.0,16.75
BHR,2007,77.634,1040532.0,16.450001
BHR,2008,78.084,1110343.0,18.049999
BHR,2009,78.461,1179453.0,20.26
BHR,2010,78.748,1213645.0,21.43
BHR,2011,78.89,1212077.0,19.040001
BHR,2012,79.081,1224939.0,21.059999
BHR,2013,79.246,1261673.0,18.52
BHR,2014,79.328,1311134.0,18.99
BHR,2015,79.405,1362142.0,19.530001
BHR,2016,79.557,1409661.0,18.51
BHR,2017,79.689,1456834.0,21.610001
BHR,2018,79.857,1487340.0,20.219999
BHS,1998,71.456,315398.0,6.2399998
BHS,1999,71.771,320272.0,5.04
BHS,2000,72.041,325014.0,4.5500002
BHS,2001,72.11,329626.0,3.9100001
BHS,2002,72.232,334002.0,3.8699999
BHS,2003,72.402,338490.0,3.8699999
BHS,2004,72.478,343089.0,4.0100002
BHS,2005,72.765,347804.0,4.4899998
BHS,2006,72.855,352664.0,4.4200001
BHS,2007,72.678,357666.0,3.8800001
BHS,2008,72.667,362795.0,3.04
BHS,2009,72.579,368057.0,3.1400001
BHS,2010,72.731,373272.0,3.8099999
BHS,2011,72.564,377950.0,3.6099999
BHS,2012,72.753,382061.0,3.21
BHS,2013,73.024,385650.0,2.6700001
BHS,2014,73.366,389131.0,2.8399999
BHS,2015,73.104,392697.0,2.51
BHS,2016,73.537,395976.0,3.03
BHS,2017,73.632,399020.0,3.22
BHS,2018,73.806,401906.0,3.04
BIH,1998,73.901,4115059.0,27.889999
BIH,1999,75.076,4153014.0,26.65
BIH,2000,74.496,4179350.0,25.290001
BIH,2001,75.06,4194932.0,27.549999
BIH,2002,74.612,4198410.0,28.450001
BIH,2003,75.782,4183757.0,29.98
BIH,2004,76.133,4142860.0,27.82
BIH,2005,75.42,4094297.0,30.049999
BIH,2006,76.247,4058086.0,29.4
BIH,2007,76.161,4007876.0,27.059999
BIH,2008,76.838,3943392.0,25.98
BIH,2009,76.976,3877750.0,26.790001
BIH,2010,77.073,3811088.0,27.52
BIH,2011,77.007,3743142.0,32.099998
BIH,2012,77.191,3674374.0,28.879999
BIH,2013,76.33,3617559.0,25.440001
BIH,2014,75.659,3571068.0,24.24
BIH,2015,76.182,3524324.0,28.57
BIH,2016,76.808,3480986.0,27.83
BIH,2017,76.935,3440027.0,26.67
BIH,2018,77.093,3400129.0,25.65
BLR,1998,68.4073170731707,10071963.0,17.379999
BLR,1999,67.9073170731707,10026738.0,17.92
BLR,2000,68.9121951219512,9979610.0,15.65
BLR,2001,68.5073170731707,9928549.0,15.99
BLR,2002,68.0560975609756,9865548.0,19.110001
BLR,2003,68.5536585365854,9796749.0,15.53
BLR,2004,68.9560975609756,9730146.0,15.87
BLR,2005,68.8512195121951,9663915.0,15.47
BLR,2006,69.4048780487805,9604924.0,15.98
BLR,2007,70.2073170731707,9560953.0,14.36
BLR,2008,70.4560975609756,9527985.0,14.93
BLR,2009,70.4073170731707,9504583.0,16.51
BLR,2010,70.4048780487805,9483836.0,17.4
BLR,2011,70.5536585365854,9461643.0,15.2
BLR,2012,71.9658536585366,9446836.0,14.86
BLR,2013,72.4707317073171,9443211.0,15.55
BLR,2014,72.9707317073171,9448515.0,15.28
BLR,2015,73.6243902439025,9461076.0,13.28
BLR,2016,73.8268292682927,9469379.0,12.69
BLR,2017,74.1292682926829,9458989.0,12.91
BLR,2018,74.1756097560976,9438785.0,13.71
BLZ,1998,68.599,224907.0,13.69
BLZ,1999,68.773,232733.0,10.69
BLZ,2000,68.564,240406.0,10.26
BLZ,2001,68.357,248100.0,10.61
BLZ,2002,68.752,255987.0,10.22
BLZ,2003,68.909,263998.0,13.17
BLZ,2004,69.227,272128.0,9.3699999
BLZ,2005,69.376,280375.0,13.59
BLZ,2006,70.093,288729.0,10.58
