country,life_exp_1999,life_exp_2000,life_exp_2001,life_exp_2002,life_exp_2003,life_exp_2004,life_exp_2005,life_exp_2006,population_1999,population_2000,population_2001,population_2002,population_2003,population_2004,population_2005,population_2006,min_1999,min_2000,min_2001,min_2002,min_2003,min_2004,min_2005,min_2006,max_1999,max_2000,max_2001,max_2002,max_2003,max_2004,max_2005,max_2006,avg_1999,avg_2000,avg_2001,avg_2002,avg_2003,avg_2004,avg_2005,avg_2006
HRV,72.6419512195122,72.8078048780488,74.5129268292683,74.7173170731707,74.6139024390244,75.520243902439,75.2446341463415,75.8368292682927,4512597.0,4468302.0,4299642.0,4302174.0,4303399.0,4304600.0,4310145.0,4311159.0,17.6,17.6,13.9,15.6,14.3,13.0,14.1,13.8,30.3,27.7,24.2,24.5,23.8,20.8,24.9,22.5,22.9,20.89,17.43,20.76,19.27,16.48,19.26,18.67
HTI,57.961,58.365,58.489,58.855,59.507,58.475,60.415,60.763,8208941.0,8360225.0,8511728.0,8661546.0,8812245.0,8961489.0,9111900.0,9266288.0,7.5,9.0,8.0,7.4,7.8,6.3,7.0,7.5,10.9,12.3,10.2,9.0,11.0,7.7,10.5,9.8,9.21,10.77,9.02,8.29,9.4,7.11,8.95,8.85
HUN,70.6770731707317,71.2463414634146,72.2487804878049,72.3487804878049,72.3,72.6487804878049,72.6487804878049,73.0975609756098,10237530.0,10210971.0,10187576.0,10158608.0,10129552.0,10107146.0,10087065.0,10071370.0,21.1,19.8,18.7,20.4,20.3,16.4,19.7,18.5,28.9,26.8,23.2,26.0,24.0,20.2,22.7,23.6,26.3,23.56,20.88,23.5,21.94,17.84,21.38,21.23
IDN,66.221,66.433,66.758,67.134,67.413,65.75,67.649,67.914,210996910.0,214072421.0,217112437.0,220115092.0,223080121.0,225938595.0,228805144.0,231797427.0,1.9,2.5,2.4,3.7,2.9,3.3,2.4,2.6,88.5,89.0,88.1,209.6,62.0,68.2,66.2,74.5,16.97,13.1,13.3,24.59,13.35,18.77,13.61,24.79
IND,62.207,62.669,63.091,63.616,64.094,64.524,64.996,65.412,1040500054.0,1059633675.0,1078970907.0,1098313039.0,1117415123.0,1136264583.0,1154638713.0,1172373788.0,7.1,6.5,9.7,12.4,8.8,9.3,11.0,10.6,111.6,117.3,99.1,115.8,121.7,122.7,105.5,96.7,40.93,43.79,46.62,48.86,47.13,48.2,43.43,43.66
IRL,76.0829268292683,76.5365853658537,77.1341463414634,77.6341463414634,78.1390243902439,78.5390243902439,78.9439024390244,79.2414634146342,3754786.0,3805174.0,3866243.0,3931947.0,3996521.0,4070262.0,4159914.0,4273591.0,5.5,5.1,5.4,5.7,7.1,4.2,4.5,4.9,9.4,9.5,8.1,8.5,12.6,6.7,8.5,7.6,7.56,7.52,6.82,7.03,10.35,5.41,6.52,6.62
IRN,69.297,69.691,69.955,70.445,69.823,71.37,71.838,72.276,64474745.0,65544383.0,66674851.0,67327117.0,67954699.0,69061674.0,70182594.0,71275760.0,12.5,13.1,13.5,13.6,14.7,13.8,13.7,14.9,56.8,51.3,68.7,69.4,81.9,82.1,66.8,73.6,35.77,31.18,29.87,30.34,33.83,30.91,28.4,30.28
IRQ,66.182,66.817,67.034,67.084,65.643,65.031,64.844,63.587,23820734.0,24628858.0,25425663.0,26255343.0,27068823.0,27858948.0,28698684.0,28905607.0,10.2,12.0,14.4,14.0,13.7,12.9,12.3,13.3,49.0,64.9,42.2,48.2,52.5,39.4,51.1,46.1,22.39,27.22,22.8,24.66,26.71,23.88,27.55,27.53
ISL,79.3512195121951,79.6536585365854,80.690243902439,80.5024390243903,80.9634146341464,80.9975609756098,81.5024390243902,81.1585365853659,277381.0,281205.0,284968.0,287523.0,289521.0,292074.0,296734.0,303782.0,2.9,2.7,2.5,3.1,3.0,3.1,2.5,2.5,3.4,3.5,3.6,4.1,4.0,4.0,3.1,3.0,3.17,3.07,3.04,3.63,3.58,3.57,2.81,2.81
ISR,78.6585365853659,78.9536585365854,79.4073170731707,79.4512195121951,79.6487804878049,80.1463414634146,80.1512195121951,80.5536585365854,6125000.0,6289000.0,6439000.0,6570000.0,6689700.0,6809000.0,6930100.0,7053700.0,13.8,15.2,17.5,17.3,18.2,17.8,16.4,17.5,19.6,21.2,22.0,23.3,27.1,25.4,24.0,26.0,17.38,18.8,20.06,21.1,23.22,21.64,20.69,22.52
